id,del,enum,sym,nx_desc,last_mod_dt,last_mod_by,sym ,id ,enum 
12.0,0,100.0,תא  <#User>,תא 99,,,,,
14.0,0,14.0,מפגע  <#User>,מפגע בטיחות,,,,,
15.0,0,15.0,גבוהה,פגיעה עסקית חמורה,1467019342.0,HprvMfZ+vki9XaxujVdxVQ==,,,
16.0,0,16.0,לקוח בסניף,לקוח בסניף,,,,,
55.0,0,55.0,תא 55,תא 55,,,,,
95.0,1,95.0,תא 95,תא 95,,,,,
800.0,0,0.0,אין השבתה,אין השבתה,1229604453.0,ouu+25jhNUC9btLmGRHEiw==,,,
801.0,0,1.0,השבתת עמדה,השבתת עמדה,1229604524.0,ouu+25jhNUC9btLmGRHEiw==,,,
802.0,0,2.0,השבתת סניף,השבתת סניף,1229604507.0,ouu+25jhNUC9btLmGRHEiw==,,,
803.0,1,3.0,השבתת עד 3 ס,MEDIUM-HIGH Severity,,,,,
804.0,1,4.0,בעיה רוחבית,בעיה רוחבית,1369127144.0,qHK3YbonN0+lu6iBJ6gTdQ==,,,
400002.0,0,5.0,השבתת יחידה,השבתת יחידה,1360239163.0,ouu+25jhNUC9btLmGRHEiw==,,,
400003.0,1,6.0,מערכת מטה,השבתה מערכת מטה,1229604574.0,ouu+25jhNUC9btLmGRHEiw==,,,
400004.0,0,7.0,מערכת קריטית,השבתה מערכת קריטית,1229604557.0,ouu+25jhNUC9btLmGRHEiw==,,,
400005.0,0,8.0,השבתת קלע,השבתת קלע,1273666792.0,qHK3YbonN0+lu6iBJ6gTdQ==,,,
400006.0,0,9.0,קריטית,עצירת עסקה,1467019320.0,HprvMfZ+vki9XaxujVdxVQ==,,,
400007.0,0,10.0,אירוע משבית,אירוע משבית,,,,,
400008.0,1,11.0,מסחר,מסחר,,,,,
400009.0,0,17.0,בינונית,בינונית,,,,,
400010.0,0,18.0,,נמוכה,,,נמוכה,,
,0,,ללא מייל,ללא מייל,1509877280.0,HprvMfZ + vki9XaxujVdxVQ == ,,400011.0,19.0
